Programme,Country,Region,Year,Quarter,Period,Budget_USD,Expenditure_USD,Budget_Utilization_Pct,Target_Output,Actual_Output,Output_Achievement_Pct,Outcome_Score_1to5,Community_Feedback_Score,Complaints_Received,Complaints_Resolved
Climate Resilience,Egypt,North Africa,2022,Q2,2022-Q2,355868,316137,88.8,15185,12399,81.7,4.3,3.0,22,9
Climate Resilience,Egypt,North Africa,2022,Q3,2022-Q3,153388,150560,98.2,6445,5900,91.5,2.7,4.5,9,9
Climate Resilience,Egypt,North Africa,2022,Q4,2022-Q4,285651,281071,98.4,38044,34626,91.0,4.2,4.1,10,0
Climate Resilience,Egypt,North Africa,2023,Q1,2023-Q1,79683,77950,97.8,46946,54728,116.6,3.7,4.9,10,10
Climate Resilience,Egypt,North Africa,2023,Q2,2023-Q2,227643,143513,63.0,49474,33074,66.9,3.8,4.4,18,19
Climate Resilience,Egypt,North Africa,2023,Q3,2023-Q3,35265,32329,91.7,13510,13172,97.5,4.9,3.1,6,10
Climate Resilience,Egypt,North Africa,2023,Q4,2023-Q4,457164,347878,76.1,24147,21137,87.5,2.6,3.7,21,15
Climate Resilience,Egypt,North Africa,2024,Q1,2024-Q1,268774,218982,81.5,4330,4247,98.1,3.2,4.8,20,4
Climate Resilience,Egypt,North Africa,2024,Q2,2024-Q2,272442,264526,97.1,12183,14789,121.4,3.5,4.8,20,14
Climate Resilience,Egypt,North Africa,2024,Q3,2024-Q3,487695,367516,75.4,37190,30640,82.4,2.8,4.9,10,14
Climate Resilience,Egypt,North Africa,2024,Q4,2024-Q4,431036,336914,78.2,29128,32248,110.7,4.3,3.7,23,1
Climate Resilience,Egypt,North Africa,2025,Q1,2025-Q1,457835,278158,60.8,36149,30678,84.9,4.2,3.7,9,18
Climate Resilience,Egypt,North Africa,2025,Q2,2025-Q2,400090,351357,87.8,46446,32878,70.8,4.2,4.4,10,17
Climate Resilience,Egypt,North Africa,2025,Q3,2025-Q3,300958,239866,79.7,3226,2731,84.7,3.6,3.4,6,18
Climate Resilience,Egypt,North Africa,2025,Q4,2025-Q4,379395,274326,72.3,23739,23250,97.9,2.6,4.3,25,11
Climate Resilience,Morocco,North Africa,2021,Q1,2021-Q1,54714,38267,69.9,11784,11834,100.4,3.3,3.5,8,0
Climate Resilience,Morocco,North Africa,2021,Q2,2021-Q2,197813,132064,66.8,26591,19635,73.8,4.4,3.3,20,17
Climate Resilience,Morocco,North Africa,2021,Q3,2021-Q3,461663,360790,78.2,12876,14767,114.7,4.1,4.6,18,19
Climate Resilience,Morocco,North Africa,2021,Q4,2021-Q4,224244,138560,61.8,14280,12294,86.1,3.2,3.6,19,3
Climate Resilience,Morocco,North Africa,2022,Q1,2022-Q1,473296,311621,65.8,22203,15516,69.9,3.8,4.3,22,10
Climate Resilience,Morocco,North Africa,2022,Q2,2022-Q2,392160,295076,75.2,4072,2779,68.2,4.3,3.7,8,13
Climate Resilience,Morocco,North Africa,2022,Q3,2022-Q3,65507,46910,71.6,34574,27198,78.7,2.7,3.8,7,11
Climate Resilience,Morocco,North Africa,2022,Q4,2022-Q4,256929,251062,97.7,21833,18677,85.5,4.3,3.2,6,16
Climate Resilience,Morocco,North Africa,2023,Q1,2023-Q1,178501,167528,93.9,13469,12867,95.5,4.6,3.8,3,11
Climate Resilience,Morocco,North Africa,2023,Q2,2023-Q2,431536,297155,68.9,4450,4764,107.1,3.8,4.1,24,6
Climate Resilience,Morocco,North Africa,2023,Q3,2023-Q3,498860,406735,81.5,8068,7607,94.3,4.8,4.8,14,16
Climate Resilience,Morocco,North Africa,2023,Q4,2023-Q4,33073,30445,92.1,33631,29039,86.3,4.9,3.2,16,4
Climate Resilience,Morocco,North Africa,2024,Q1,2024-Q1,119725,84531,70.6,24289,25056,103.2,3.8,4.5,15,16
Climate Resilience,Morocco,North Africa,2024,Q2,2024-Q2,182717,119786,65.6,23452,19873,84.7,3.1,4.5,4,3
Climate Resilience,Morocco,North Africa,2024,Q3,2024-Q3,451037,300342,66.6,35826,23495,65.6,3.4,4.4,21,4
Climate Resilience,Morocco,North Africa,2024,Q4,2024-Q4,127577,95317,74.7,49485,35987,72.7,3.9,3.2,1,14
Climate Resilience,Morocco,North Africa,2025,Q1,2025-Q1,223207,205798,92.2,48771,52063,106.7,4.3,3.4,16,3
Climate Resilience,Morocco,North Africa,2025,Q2,2025-Q2,22154,21132,95.4,22380,14758,65.9,4.0,3.9,1,19
Climate Resilience,Morocco,North Africa,2025,Q3,2025-Q3,477113,321065,67.3,7706,5836,75.7,4.5,4.4,10,14
Climate Resilience,Morocco,North Africa,2025,Q4,2025-Q4,486189,440639,90.6,5023,3433,68.3,3.6,4.4,3,16
Climate Resilience,Sudan,North Africa,2021,Q1,2021-Q1,421699,318213,75.5,45187,42219,93.4,4.9,3.6,23,9
Climate Resilience,Sudan,North Africa,2021,Q2,2021-Q2,31786,24932,78.4,39850,26558,66.6,4.2,4.1,24,9
Climate Resilience,Sudan,North Africa,2021,Q3,2021-Q3,354941,332711,93.7,15752,14273,90.6,4.6,3.2,10,6
Climate Resilience,Sudan,North Africa,2021,Q4,2021-Q4,120949,89392,73.9,20780,20472,98.5,4.7,3.4,8,17
Climate Resilience,Sudan,North Africa,2022,Q1,2022-Q1,187326,118258,63.1,30908,28736,93.0,2.9,4.7,21,3
Climate Resilience,Sudan,North Africa,2022,Q2,2022-Q2,162949,142532,87.5,11785,10824,91.8,3.8,4.7,5,8
Climate Resilience,Sudan,North Africa,2022,Q3,2022-Q3,80010,61423,76.8,2999,2270,75.7,3.8,4.1,19,17
Climate Resilience,Sudan,North Africa,2022,Q4,2022-Q4,289515,267000,92.2,8709,6251,71.8,4.5,4.2,6,17
Climate Resilience,Sudan,North Africa,2023,Q1,2023-Q1,203667,185808,91.2,38003,36955,97.2,3.5,4.8,10,8
Climate Resilience,Sudan,North Africa,2023,Q2,2023-Q2,94216,67759,71.9,48160,33288,69.1,2.5,3.6,25,9
Climate Resilience,Sudan,North Africa,2023,Q3,2023-Q3,320984,266811,83.1,18044,17043,94.5,4.7,4.8,5,2
Climate Resilience,Sudan,North Africa,2023,Q4,2023-Q4,183251,129446,70.6,42190,21673,51.4,3.7,4.1,10,17
Climate Resilience,Sudan,North Africa,2024,Q1,2024-Q1,252599,247457,98.0,5324,3909,73.4,2.5,3.0,4,0
Climate Resilience,Sudan,North Africa,2024,Q2,2024-Q2,266801,209232,78.4,46269,49283,106.5,3.7,3.0,1,3
Climate Resilience,Sudan,North Africa,2024,Q3,2024-Q3,221116,193425,87.5,5525,5121,92.7,3.3,3.3,2,13
Climate Resilience,Sudan,North Africa,2024,Q4,2024-Q4,225477,172009,76.3,13729,8031,58.5,3.1,4.1,22,19
Climate Resilience,Sudan,North Africa,2025,Q1,2025-Q1,487285,331125,68.0,40846,27190,66.6,4.2,4.5,20,14
Climate Resilience,Sudan,North Africa,2025,Q2,2025-Q2,343126,221027,64.4,25306,21624,85.5,3.7,3.1,9,10
Climate Resilience,Sudan,North Africa,2025,Q3,2025-Q3,448575,376476,83.9,14985,13189,88.0,3.8,4.8,22,17
Climate Resilience,Sudan,North Africa,2025,Q4,2025-Q4,61180,50145,82.0,32519,19274,59.3,4.0,3.8,18,4
Migration & Displacement,Kenya,East Africa,2021,Q1,2021-Q1,68714,67314,98.0,47783,35386,74.1,4.6,3.9,14,3
Migration & Displacement,Kenya,East Africa,2021,Q2,2021-Q2,258857,241116,93.1,22341,22148,99.1,4.6,3.4,21,20
Migration & Displacement,Kenya,East Africa,2021,Q3,2021-Q3,392357,345453,88.0,32500,22642,69.7,3.2,4.5,15,7
Migration & Displacement,Kenya,East Africa,2021,Q4,2021-Q4,137332,95024,69.2,11418,7895,69.1,2.5,4.4,19,8
Migration & Displacement,Kenya,East Africa,2022,Q1,2022-Q1,498602,333302,66.8,25819,20970,81.2,3.4,4.0,12,5
Migration & Displacement,Kenya,East Africa,2022,Q2,2022-Q2,386799,238975,61.8,45593,36156,79.3,4.9,4.4,10,10
Migration & Displacement,Kenya,East Africa,2022,Q3,2022-Q3,257650,187898,72.9,33949,26109,76.9,4.1,3.3,0,2
Migration & Displacement,Kenya,East Africa,2022,Q4,2022-Q4,269212,181872,67.6,9398,5309,56.5,4.6,3.5,11,15
Migration & Displacement,Kenya,East Africa,2023,Q1,2023-Q1,261823,196911,75.2,13193,11942,90.5,3.4,4.4,9,11
Migration & Displacement,Kenya,East Africa,2023,Q2,2023-Q2,336900,204792,60.8,39662,38697,97.6,4.3,4.0,4,16
Migration & Displacement,Kenya,East Africa,2023,Q3,2023-Q3,73966,68438,92.5,28587,24412,85.4,3.4,3.9,22,3
Migration & Displacement,Kenya,East Africa,2023,Q4,2023-Q4,190849,167175,87.6,38447,37833,98.4,4.7,3.4,20,2
Migration & Displacement,Kenya,East Africa,2024,Q1,2024-Q1,435462,421212,96.7,21799,17351,79.6,2.8,3.2,17,14
Migration & Displacement,Kenya,East Africa,2024,Q2,2024-Q2,230143,164895,71.6,40701,38396,94.3,4.0,4.6,13,7
Migration & Displacement,Kenya,East Africa,2024,Q3,2024-Q3,345517,331592,96.0,17970,15335,85.3,2.6,3.7,17,5
Migration & Displacement,Kenya,East Africa,2024,Q4,2024-Q4,272903,183301,67.2,27153,13803,50.8,4.1,3.9,2,10
Migration & Displacement,Kenya,East Africa,2025,Q1,2025-Q1,129176,103098,79.8,47485,44333,93.4,3.0,4.0,18,13
Migration & Displacement,Kenya,East Africa,2025,Q2,2025-Q2,431206,385673,89.4,30531,25546,83.7,3.9,4.9,18,10
Migration & Displacement,Kenya,East Africa,2025,Q3,2025-Q3,305488,229478,75.1,47490,34164,71.9,4.0,3.6,7,5
Migration & Displacement,Kenya,East Africa,2025,Q4,2025-Q4,367399,243998,66.4,45883,38471,83.8,3.9,4.1,2,18
Migration & Displacement,Ethiopia,East Africa,2021,Q1,2021-Q1,458697,289139,63.0,33891,33503,98.9,3.0,3.9,3,18
Migration & Displacement,Ethiopia,East Africa,2021,Q2,2021-Q2,332515,295316,88.8,32337,34662,107.2,3.8,3.8,10,17
Migration & Displacement,Ethiopia,East Africa,2021,Q3,2021-Q3,71198,51898,72.9,31177,29357,94.2,4.2,3.1,5,9
Migration & Displacement,Ethiopia,East Africa,2021,Q4,2021-Q4,232752,182541,78.4,6561,5728,87.3,4.7,3.2,19,3
Migration & Displacement,Ethiopia,East Africa,2022,Q1,2022-Q1,379403,377714,99.6,41086,33776,82.2,4.6,3.8,24,12
Migration & Displacement,Ethiopia,East Africa,2022,Q2,2022-Q2,191656,148790,77.6,34394,32273,93.8,4.1,4.5,20,1
Migration & Displacement,Ethiopia,East Africa,2022,Q3,2022-Q3,67465,41390,61.4,16261,10772,66.2,3.4,3.7,4,18
Migration & Displacement,Ethiopia,East Africa,2022,Q4,2022-Q4,493566,388744,78.8,43689,39571,90.6,3.3,3.2,25,0
Migration & Displacement,Ethiopia,East Africa,2023,Q1,2023-Q1,416926,274442,65.8,11615,9815,84.5,4.9,3.2,21,4
Migration & Displacement,Ethiopia,East Africa,2023,Q2,2023-Q2,257489,251954,97.9,36816,28436,77.2,4.3,4.3,9,12
Migration & Displacement,Ethiopia,East Africa,2023,Q3,2023-Q3,342737,294106,85.8,39875,45430,113.9,4.0,4.7,14,6
Migration & Displacement,Ethiopia,East Africa,2023,Q4,2023-Q4,127825,80390,62.9,46663,39989,85.7,4.2,4.1,10,9
Migration & Displacement,Ethiopia,East Africa,2024,Q1,2024-Q1,318989,239772,75.2,46535,47610,102.3,4.7,4.0,9,13
Migration & Displacement,Ethiopia,East Africa,2024,Q2,2024-Q2,396329,368542,93.0,24561,15256,62.1,3.5,3.2,2,18
Migration & Displacement,Ethiopia,East Africa,2024,Q3,2024-Q3,24256,15150,62.5,42074,34877,82.9,3.3,4.4,16,12
Migration & Displacement,Ethiopia,East Africa,2024,Q4,2024-Q4,464405,416631,89.7,10359,7989,77.1,2.6,3.4,9,1
Migration & Displacement,Ethiopia,East Africa,2025,Q1,2025-Q1,213579,151578,71.0,37971,25767,67.9,2.8,4.9,1,0
Migration & Displacement,Ethiopia,East Africa,2025,Q2,2025-Q2,388760,358312,92.2,38702,33785,87.3,3.0,3.8,11,3
Migration & Displacement,Ethiopia,East Africa,2025,Q3,2025-Q3,471541,350000,74.2,20494,17578,85.8,2.8,4.5,0,7
Migration & Displacement,Ethiopia,East Africa,2025,Q4,2025-Q4,246343,186914,75.9,48020,51403,107.0,3.2,3.8,18,12
Migration & Displacement,Uganda,East Africa,2021,Q1,2021-Q1,347792,277921,79.9,22848,15262,66.8,3.5,3.0,22,12
Migration & Displacement,Uganda,East Africa,2021,Q2,2021-Q2,232878,211685,90.9,27006,19967,73.9,2.9,3.1,13,17
Migration & Displacement,Uganda,East Africa,2021,Q3,2021-Q3,130738,112628,86.1,45416,42989,94.7,3.7,3.4,5,15
Migration & Displacement,Uganda,East Africa,2021,Q4,2021-Q4,92912,83146,89.5,14335,13393,93.4,4.2,3.5,17,12
Migration & Displacement,Uganda,East Africa,2022,Q1,2022-Q1,462146,444290,96.1,25611,23387,91.3,4.8,4.4,13,4
Migration & Displacement,Uganda,East Africa,2022,Q2,2022-Q2,171241,115790,67.6,45913,44589,97.1,3.6,3.1,4,4
Migration & Displacement,Uganda,East Africa,2022,Q3,2022-Q3,26083,19715,75.6,6701,5018,74.9,3.3,4.2,20,0
Migration & Displacement,Uganda,East Africa,2022,Q4,2022-Q4,95495,90613,94.9,49273,52479,106.5,2.6,3.8,15,13
Migration & Displacement,Uganda,East Africa,2023,Q1,2023-Q1,91185,60482,66.3,7548,5690,75.4,4.2,3.6,4,20
Migration & Displacement,Uganda,East Africa,2023,Q2,2023-Q2,442545,300738,68.0,29253,26257,89.8,4.8,3.0,14,19
Migration & Displacement,Uganda,East Africa,2023,Q3,2023-Q3,243191,188499,77.5,42845,36326,84.8,3.8,3.6,5,14
Migration & Displacement,Uganda,East Africa,2023,Q4,2023-Q4,287080,187424,65.3,29795,23459,78.7,3.4,4.3,17,14
Migration & Displacement,Uganda,East Africa,2024,Q1,2024-Q1,221701,202403,91.3,25285,30742,121.6,3.0,3.6,7,5
Migration & Displacement,Uganda,East Africa,2024,Q2,2024-Q2,242702,161338,66.5,41621,40589,97.5,3.1,3.4,0,18
Migration & Displacement,Uganda,East Africa,2024,Q3,2024-Q3,281177,227129,80.8,49901,47260,94.7,3.0,4.3,7,16
Migration & Displacement,Uganda,East Africa,2024,Q4,2024-Q4,161164,149383,92.7,28924,24981,86.4,3.9,3.5,17,18
Migration & Displacement,Uganda,East Africa,2025,Q1,2025-Q1,212397,149744,70.5,4192,4010,95.7,4.5,3.9,1,18
Migration & Displacement,Uganda,East Africa,2025,Q2,2025-Q2,273371,240355,87.9,48195,33960,70.5,3.5,3.3,11,3
Migration & Displacement,Uganda,East Africa,2025,Q3,2025-Q3,324227,246172,75.9,33557,31562,94.1,2.7,4.0,22,2
Migration & Displacement,Uganda,East Africa,2025,Q4,2025-Q4,94494,69128,73.2,49853,43180,86.6,3.8,3.0,23,16
Migration & Displacement,Tanzania,East Africa,2021,Q1,2021-Q1,470547,341245,72.5,20312,17931,88.3,3.6,3.6,14,16
Migration & Displacement,Tanzania,East Africa,2021,Q2,2021-Q2,61017,43884,71.9,36298,37916,104.5,3.5,4.7,19,2
Migration & Displacement,Tanzania,East Africa,2021,Q3,2021-Q3,148571,146622,98.7,32962,17867,54.2,4.6,3.9,20,2
Migration & Displacement,Tanzania,East Africa,2021,Q4,2021-Q4,378651,310799,82.1,43529,29289,67.3,3.1,4.5,17,18
Migration & Displacement,Tanzania,East Africa,2022,Q1,2022-Q1,183839,149423,81.3,42176,39462,93.6,3.0,4.4,1,10
Migration & Displacement,Tanzania,East Africa,2022,Q2,2022-Q2,300511,276476,92.0,2706,2555,94.4,3.4,3.3,15,14
Migration & Displacement,Tanzania,East Africa,2022,Q3,2022-Q3,288783,173573,60.1,32751,17763,54.2,3.9,3.4,18,10
Migration & Displacement,Tanzania,East Africa,2022,Q4,2022-Q4,240733,227219,94.4,25128,18787,74.8,3.1,3.5,25,9
Migration & Displacement,Tanzania,East Africa,2023,Q1,2023-Q1,171628,135978,79.2,12977,8110,62.5,3.2,3.3,1,19
Migration & Displacement,Tanzania,East Africa,2023,Q2,2023-Q2,412914,366413,88.7,21927,18618,84.9,4.4,3.9,23,18
Migration & Displacement,Tanzania,East Africa,2023,Q3,2023-Q3,156547,138643,88.6,6025,4541,75.4,4.9,4.6,20,15
Migration & Displacement,Tanzania,East Africa,2023,Q4,2023-Q4,323112,220295,68.2,13080,11938,91.3,3.0,3.3,18,1
Migration & Displacement,Tanzania,East Africa,2024,Q1,2024-Q1,364100,238613,65.5,21120,17311,82.0,4.5,4.5,25,19
Migration & Displacement,Tanzania,East Africa,2024,Q2,2024-Q2,34312,28885,84.2,20796,22832,109.8,4.2,3.0,15,2
Migration & Displacement,Tanzania,East Africa,2024,Q3,2024-Q3,86490,62680,72.5,35134,23901,68.0,4.2,4.6,2,8
Migration & Displacement,Tanzania,East Africa,2024,Q4,2024-Q4,152147,109959,72.3,10686,10505,98.3,2.6,4.9,19,8
Migration & Displacement,Tanzania,East Africa,2025,Q1,2025-Q1,164293,121260,73.8,18839,15955,84.7,4.4,3.4,0,3
Migration & Displacement,Tanzania,East Africa,2025,Q2,2025-Q2,336576,238227,70.8,13443,9454,70.3,3.1,5.0,18,4
Migration & Displacement,Tanzania,East Africa,2025,Q3,2025-Q3,365587,248219,67.9,31271,30114,96.3,2.9,4.9,11,5
Migration & Displacement,Tanzania,East Africa,2025,Q4,2025-Q4,156971,153673,97.9,47925,41698,87.0,4.7,3.4,7,15
Migration & Displacement,Somalia,East Africa,2021,Q1,2021-Q1,114796,97992,85.4,36562,34090,93.2,3.3,3.4,1,10
Migration & Displacement,Somalia,East Africa,2021,Q2,2021-Q2,64250,49379,76.9,11507,8641,75.1,4.5,3.9,19,4
Migration & Displacement,Somalia,East Africa,2021,Q3,2021-Q3,459151,374212,81.5,34502,21324,61.8,3.5,4.4,24,13
Migration & Displacement,Somalia,East Africa,2021,Q4,2021-Q4,423894,413362,97.5,27111,28429,104.9,3.9,4.5,7,14
Migration & Displacement,Somalia,East Africa,2022,Q1,2022-Q1,400632,254674,63.6,43784,37288,85.2,2.6,3.5,5,6
Migration & Displacement,Somalia,East Africa,2022,Q2,2022-Q2,322911,260576,80.7,24614,15452,62.8,2.5,3.5,1,20
Migration & Displacement,Somalia,East Africa,2022,Q3,2022-Q3,158619,127785,80.6,9601,9246,96.3,4.1,3.8,1,5
Migration & Displacement,Somalia,East Africa,2022,Q4,2022-Q4,263277,255942,97.2,28132,24458,86.9,4.5,3.4,15,9
Migration & Displacement,Somalia,East Africa,2023,Q1,2023-Q1,269700,175935,65.2,36899,34915,94.6,4.5,4.5,7,12
Migration & Displacement,Somalia,East Africa,2023,Q2,2023-Q2,378356,321634,85.0,48242,54638,113.3,5.0,4.1,12,15
Migration & Displacement,Somalia,East Africa,2023,Q3,2023-Q3,157691,101748,64.5,11512,8866,77.0,4.4,4.9,16,13
Migration & Displacement,Somalia,East Africa,2023,Q4,2023-Q4,26219,23039,87.9,20926,19997,95.6,4.0,3.9,25,14
Migration & Displacement,Somalia,East Africa,2024,Q1,2024-Q1,220280,164276,74.6,46465,48557,104.5,4.4,4.4,10,16
Migration & Displacement,Somalia,East Africa,2024,Q2,2024-Q2,378023,256815,67.9,4688,2999,64.0,3.7,4.6,3,17
Migration & Displacement,Somalia,East Africa,2024,Q3,2024-Q3,354193,279912,79.0,25188,27224,108.1,4.2,3.8,13,19
Migration & Displacement,Somalia,East Africa,2024,Q4,2024-Q4,361870,346731,95.8,19864,17503,88.1,2.9,5.0,10,8
Migration & Displacement,Somalia,East Africa,2025,Q1,2025-Q1,160030,103625,64.8,8440,8213,97.3,4.5,4.7,8,20
Migration & Displacement,Somalia,East Africa,2025,Q2,2025-Q2,326276,325178,99.7,27634,19710,71.3,3.2,4.4,14,7
Migration & Displacement,Somalia,East Africa,2025,Q3,2025-Q3,404991,261688,64.6,46032,46765,101.6,3.4,4.2,18,6
Migration & Displacement,Somalia,East Africa,2025,Q4,2025-Q4,292604,234524,80.2,24112,19423,80.6,4.1,4.9,21,5
Migration & Displacement,Nigeria,West Africa,2021,Q1,2021-Q1,184243,114653,62.2,37888,38302,101.1,3.7,3.2,0,0
Migration & Displacement,Nigeria,West Africa,2021,Q2,2021-Q2,456044,375878,82.4,6453,5696,88.3,3.3,3.3,0,13
Migration & Displacement,Nigeria,West Africa,2021,Q3,2021-Q3,71222,66921,94.0,36423,35071,96.3,4.5,4.4,3,14
Migration & Displacement,Nigeria,West Africa,2021,Q4,2021-Q4,204295,122987,60.2,16379,14014,85.6,3.6,3.4,23,9
Migration & Displacement,Nigeria,West Africa,2022,Q1,2022-Q1,152066,146640,96.4,14653,11247,76.8,3.8,3.5,1,0
Migration & Displacement,Nigeria,West Africa,2022,Q2,2022-Q2,344742,235784,68.4,8025,5815,72.5,4.0,3.2,1,19
Migration & Displacement,Nigeria,West Africa,2022,Q3,2022-Q3,364250,227025,62.3,16209,17231,106.3,3.9,3.8,19,20
Migration & Displacement,Nigeria,West Africa,2022,Q4,2022-Q4,83853,69287,82.6,48404,35172,72.7,3.4,4.9,3,2
Migration & Displacement,Nigeria,West Africa,2023,Q1,2023-Q1,469021,291713,62.2,41628,39886,95.8,4.5,3.4,4,12
Migration & Displacement,Nigeria,West Africa,2023,Q2,2023-Q2,364139,261586,71.8,44461,39923,89.8,4.3,3.2,18,5
Migration & Displacement,Nigeria,West Africa,2023,Q3,2023-Q3,489762,452904,92.5,9264,9231,99.6,2.8,4.4,22,5
Migration & Displacement,Nigeria,West Africa,2023,Q4,2023-Q4,152820,133247,87.2,21304,21083,99.0,4.6,3.1,14,2
Migration & Displacement,Nigeria,West Africa,2024,Q1,2024-Q1,354904,216223,60.9,31716,22125,69.8,3.9,4.8,8,13
Migration & Displacement,Nigeria,West Africa,2024,Q2,2024-Q2,382923,289716,75.7,45750,36366,79.5,4.6,3.0,24,10
Migration & Displacement,Nigeria,West Africa,2024,Q3,2024-Q3,154918,103393,66.7,12614,8829,70.0,4.8,3.2,24,2
Migration & Displacement,Nigeria,West Africa,2024,Q4,2024-Q4,165378,113252,68.5,6088,7177,117.9,2.6,3.9,12,12
Migration & Displacement,Nigeria,West Africa,2025,Q1,2025-Q1,194406,138248,71.1,5936,5294,89.2,4.0,4.1,8,8
Migration & Displacement,Nigeria,West Africa,2025,Q2,2025-Q2,113286,72133,63.7,30873,30808,99.8,3.6,5.0,2,15
Migration & Displacement,Nigeria,West Africa,2025,Q3,2025-Q3,125208,116955,93.4,41996,34312,81.7,2.5,3.6,12,5
Migration & Displacement,Nigeria,West Africa,2025,Q4,2025-Q4,358419,230622,64.3,34247,27466,80.2,3.7,4.4,3,4
Migration & Displacement,Ghana,West Africa,2021,Q1,2021-Q1,303446,288213,95.0,30262,19985,66.0,3.1,3.7,6,19
Migration & Displacement,Ghana,West Africa,2021,Q2,2021-Q2,357294,252935,70.8,8963,8920,99.5,3.8,3.9,14,8
Migration & Displacement,Ghana,West Africa,2021,Q3,2021-Q3,74152,59690,80.5,4284,2979,69.5,3.1,3.3,2,2
Migration & Displacement,Ghana,West Africa,2021,Q4,2021-Q4,319549,236399,74.0,49680,53965,108.6,4.4,4.5,8,14
Migration & Displacement,Ghana,West Africa,2022,Q1,2022-Q1,29838,25862,86.7,34617,31909,92.2,3.9,4.0,4,20
Migration & Displacement,Ghana,West Africa,2022,Q2,2022-Q2,355720,291687,82.0,2056,1301,63.3,3.7,4.1,1,12
Migration & Displacement,Ghana,West Africa,2022,Q3,2022-Q3,159689,141516,88.6,11935,10676,89.5,2.8,3.1,22,10
Migration & Displacement,Ghana,West Africa,2022,Q4,2022-Q4,494280,489550,99.0,27646,21571,78.0,4.9,3.1,18,0
Migration & Displacement,Ghana,West Africa,2023,Q1,2023-Q1,290209,225579,77.7,48373,40655,84.0,4.6,4.9,24,15
Migration & Displacement,Ghana,West Africa,2023,Q2,2023-Q2,270682,231081,85.4,30577,19742,64.6,3.4,4.2,12,2
Migration & Displacement,Ghana,West Africa,2023,Q3,2023-Q3,303183,219747,72.5,16801,9506,56.6,3.2,3.1,0,12
Migration & Displacement,Ghana,West Africa,2023,Q4,2023-Q4,381371,353274,92.6,33592,31725,94.4,3.6,3.7,3,18
Migration & Displacement,Ghana,West Africa,2024,Q1,2024-Q1,300653,237048,78.8,25522,20973,82.2,4.6,4.8,10,9
Migration & Displacement,Ghana,West Africa,2024,Q2,2024-Q2,230037,225133,97.9,5617,4908,87.4,3.5,3.4,20,20
Migration & Displacement,Ghana,West Africa,2024,Q3,2024-Q3,67535,50614,74.9,25943,18161,70.0,4.0,4.0,17,10
Migration & Displacement,Ghana,West Africa,2024,Q4,2024-Q4,62182,58841,94.6,32122,24818,77.3,2.6,4.3,24,9
Migration & Displacement,Ghana,West Africa,2025,Q1,2025-Q1,359629,325528,90.5,15311,14038,91.7,4.3,4.9,5,17
Migration & Displacement,Ghana,West Africa,2025,Q2,2025-Q2,40620,29777,73.3,27176,24321,89.5,3.8,3.0,21,6
Migration & Displacement,Ghana,West Africa,2025,Q3,2025-Q3,176694,106508,60.3,47605,37828,79.5,3.2,3.4,12,3
Migration & Displacement,Ghana,West Africa,2025,Q4,2025-Q4,350624,214374,61.1,47143,38372,81.4,4.8,3.0,11,15
Migration & Displacement,Senegal,West Africa,2021,Q1,2021-Q1,64492,57683,89.4,43470,38910,89.5,4.2,3.0,14,6
Migration & Displacement,Senegal,West Africa,2021,Q2,2021-Q2,93370,92804,99.4,4339,4187,96.5,4.7,4.8,6,0
Migration & Displacement,Senegal,West Africa,2021,Q3,2021-Q3,397350,343190,86.4,40859,39388,96.4,3.2,4.1,7,15
Migration & Displacement,Senegal,West Africa,2021,Q4,2021-Q4,223826,143224,64.0,6128,4933,80.5,4.8,3.3,25,17
Migration & Displacement,Senegal,West Africa,2022,Q1,2022-Q1,357330,246542,69.0,22167,23933,108.0,4.0,3.5,15,17
Migration & Displacement,Senegal,West Africa,2022,Q2,2022-Q2,457387,274604,60.0,31445,28318,90.1,4.4,5.0,0,1
Migration & Displacement,Senegal,West Africa,2022,Q3,2022-Q3,197883,182837,92.4,5673,5596,98.6,3.5,4.0,10,1
Migration & Displacement,Senegal,West Africa,2022,Q4,2022-Q4,232602,183953,79.1,9745,8152,83.7,3.6,4.6,6,20
Migration & Displacement,Senegal,West Africa,2023,Q1,2023-Q1,369865,299852,81.1,36283,24710,68.1,2.6,4.2,14,17
Migration & Displacement,Senegal,West Africa,2023,Q2,2023-Q2,98094,67879,69.2,39968,28854,72.2,2.9,4.3,7,2
Migration & Displacement,Senegal,West Africa,2023,Q3,2023-Q3,39334,34318,87.2,11279,9626,85.3,4.7,4.9,15,20
Migration & Displacement,Senegal,West Africa,2023,Q4,2023-Q4,29994,27682,92.3,32881,36108,109.8,4.1,3.6,19,1
Migration & Displacement,Senegal,West Africa,2024,Q1,2024-Q1,147235,146230,99.3,47960,34575,72.1,3.6,3.1,20,4
Migration & Displacement,Senegal,West Africa,2024,Q2,2024-Q2,27531,27294,99.1,13288,9991,75.2,4.0,4.1,20,1
Migration & Displacement,Senegal,West Africa,2024,Q3,2024-Q3,494303,426246,86.2,22141,17110,77.3,4.0,4.4,25,3
Migration & Displacement,Senegal,West Africa,2024,Q4,2024-Q4,259172,198707,76.7,42057,35727,84.9,4.4,3.5,5,18
